Sender,Total Burned (MOOJ),Rank
E2QEHMWM6TCRRZWWZAFE5DFFEL4GFV7GY66UOGU7NGCJ22EBWUQD4J6BM4,1815.59779559,99
M4COIRPZBUANCJLUT7RSK45QOVFG6ST5XS3HSBBXDNDAWP5LWRKKA2ALOQ,1793.28340412,100
3MC6VGIXROWYK3LGVH7WIHK54Q63GZMTRTO46YWQCQPJQLXMHNQGNXW4PQ,1763.63128265,101
PMIIQZDK6MXY67BYVA5QIGOKN7U3SBSLKBA5QTFSBLUDYNPDZAM54HTJXA,1735.10588128,102
RSOIT3SRNPVWWAXJXAOXPHH6CWZUQRPFD5RYWURASKHMO2VCL4VHJAFHTI,1729.418004,103
LQFIIHPRQCD65HZGNYRFXW7KS37Y2KBQTVBFDZQMXHIPKFLXIT5MLI2IIY,1722.5583166800002,104
TUZLFQD5BVBWL3SQERHHWDQR6YK3NNFDVE5MJF5YF3T6LHK55DUTOTSDKU,1710.32898833,105
TRJQPUCTAR7DCZGEAOHNSEYKWH2PMQZQE4T2QSW7IL6K56BY5TNGSDMBFE,1672.05280592,106
26UKDK5GFAXIMWBM6S7ITFOSBY7WUN5IT5Z25I5FWBGMLDN7DSUKEXRPZE,1662.13583091,107
VWHNXKAJKZT63AC6IXP2QVBWVJI6RJYL6V22EMBU7TS7HUMOM2BS7TLNNY,1654.61153252,108
ENDMA42DULKPZC7RMWQOOV22NPTRGTPJ5HPVFO4XYEJ6L7ULA3JJT7BUHE,1640.2264658,109
XELNSOELVRTDYCZ7UYXW75XNQRHN7B3LKAUGEX4UEZZ4BJZ7QCD3UJVPZ4,1594.0611978,110
OGKQQHTFLIIU5DPHMIUBHVKC7ZSQWYTQHQWZXYJHHLQS66H7IMOZIKXCVE,1574.73312624,111
55KEPEFMAFCI23CFNVAX2ITROJR5FOT5HKQWOLVWQZ5LUVDWREHQONFA3U,1549.57647148,112
7UKXA5O6W4PUZWPHPODRJKS7PEMF4Z2ZJZYCBQZY5J4PCC7WUGM4KUJ45I,1515.89650953,113
ZOSCWWQ6FVQIHOOPSTUSQL3ZQ2OIPUY2R6TXIRX6MVSMVJANK4LVISEJUA,1499.9861999,114
4B6W2MRBKYIHU5T5VU44W5FX7GMM6FLSPAQX5FSSFBZLK2TXKBNA6XRKSM,1463.85227362,115
6S5ZHYE44X4DEU5C2XSCOSQYAF6SMZ5ISLDRIY76BLQTBYNFOMINVGQDEU,1453.02401982,116
BV62FQCMRPLR5FVO47L4Y2CDHNT36A3HBOSKSJ5KNX6OENMMGYWWOU463M,1445.2785696199999,117
FN3YUULWVTCZFR4ONEMCYJMGAOGVZRRQRS2NRTRNNKY4TYSQLLXJYXUXS4,1441.41185596,118
WNABJOF3KHRWFJJE3OF4WJMO5FX2LOWSPHRTECNQDBOBDHVNMVEYK3YFWI,1394.75651017,119
4A77E5FTJCBCND3V3UCBORUHETRHPLRA7THM2J5JNZK4AXPGRWAKZHWJ6Q,1386.6161584000001,120
ROLQIJEQ7K26WGKGU3YAI6CYC3HOOIE733JZX7C3RQKHTQKSLN66VZIY7U,1378.29068802,121
6ECVIWS73ZQ5ZGF77CDYBW6E7E7VS7PLNTYB3IBVLKX7MH34BUN67VQFTU,1353.11588894,122
FHFGFGERS4RE6FEWV4P4BILBBSK3WNPPPIJAINKBZ2J5RXZEBZT3YL6T7Y,1327.42335283,123
4QUG5LE5DI7ENE6EWY235CE6TDYZN3BA6T7ICEQNBHMSBXI3RBCPDMSJJQ,1297.12557198,124
DO3E2I3Y7RNVP36TZJWIYNM5CCAMISDIWAGPYVXCJK4XRERZTJXIANC24M,1263.28600774,125
H3UWTAP6SKYZIXV5L372ZJG4CZTYQGN7B6H7FWQS2PPHXIHIQ45CT24WOQ,1262.50511103,126
ZIPCVWBW7LYS6N6RA6NCDYCXSNORXWPTAONQM6UCUWSM2L2OPKNLDEEHS4,1234.84463358,127
KTX3REYLMZUCI6HUA74JHBUUWF6LYYPTNHV363NBMBL4LY4RAIIYMGGB7A,1206.44503074,128
OSWPI7N5VMAKLKM2MMUGO4Z75FNTFIWUM27QTAUSNT3LQ4B23V6DBKSRZM,1189.90855671,129
6UE6PHOA6234L5HTVRMJGN7TKLGCTVLLFTI5DMWUUHJ6OZFGPXFE7QQENU,1186.37111075,130
XNBHMFGZ4V7PC2GVXQ75KMCCIYPG3NOTAAKGJXMAVYCHQPHYCCWAKEMWJM,1125.63067006,131
SXROMKG34ITNSGXHZRS7GBO2W4WPL32I7FPV2367ICWSY74U22OGBQTS5E,1113.157494,132
ZG22OWUDL26HK3UKD72YNWBVOY7PWLRW2FMJDVDVCKY5DYSFNUXRNGVYPM,1089.39611797,133
DLMN376QTQ5FUN5AX7ALJTLGHPJTQZCMPKNNBBTVNXU67HO53Y4BHBS5WA,1080.82855827,134
GAA7OD3TRKEDSGYBPR2CCK3C6AKAK7AX62NTD3WWSJRYFLPOQQP3YJNVO4,1080.82855827,135
EO7WKLIAPBBRP35PMIWSVFCUWXZRMAK4WNB3OD3SDKTHC3FOF2PXLFWTAQ,1080.82855827,136
VCIEP32CJC2XEIVIYNBBK7344DI525WSPLSPWVY5C2NE42J7B6L2P57XSE,1080.82855827,137
XPHXJHE4UMZQGJQWH7BIKE3Z3LAKABCVJJO4Z3RUQTBVK3N5FWLHO4IRBM,1080.82855827,138
L4RE7FFRU22ZUMDLNYW5LVF6EEBDFPTDZCXPJQE3CMRCXLH2OGX3EJXDCA,1062.3772684,139
AX4M57FNSPO5FGDBONZXQDZBXNQ5MFZKDUPVJQ7T7P73ZTZEFU6YUGOF2M,1059.10829771,140
7GGSWEHWKJBXIYZ46P5KS5T2OEUM7WBJEFJWOHKKMGQASGNTBE7HGN3GJY,1058.12517431,141
C4KRNVG6JXZ6MSF5VJ5IBEJUP4CYPCJD4KAQ3O3ZGEWXAABMMWVC5WSG3Y,1053.94855827,142
VJ5JVGGEXA6QEIOXNGCGZROJU3WIMJWCRSSUY5FJERMFKANTOMJ3U6AUY4,1040.8635623,143
BP3GC77NISB6BOAMVKBW2K2BCEWUPQ2A6L7BERN6NNCR65L4VVTHY22C7Q,1017.3793823199999,144
BH74AOZE4KJ47GRDB4CR6JEVOE6OKBKY52BXMI4PB2JPNBKMV2NW7SPULU,1010.08901957,145
375D574LXR66EPWFYXZFCUMNMA22ERH2QAX6AQGJZIYMK7QRV77JSRY3E4,1002.03053193,146
ZHQYNTY66ATPOU7XFD7I6MG64QMTG3OJQTCRZFQ77H4OQTK4ISPGMYEDHA,996.90472758,147
BSDJPFM2W3KQGE27WTCEBJAQ2ZQJHMCNKOTCS7WDWH6WRLMRPD7BNFHPQI,955.68845217,148
OLMKJNHF46CPGH4UNXEF3RCFOICHQJHFUFXR7VSTUHKARTUGL3S5KOT5SY,948.54577996,149
QD3PKJV7NWXMOYXTKOSR7GLAIMB6BJKYKSDCZWX57OOILE6DBFU46EFPLQ,945.95601816,150
OIFNFB6NAKW3K5JF7ONVKIY27Y4UVGSWBTMCEB6ODNCWEZ6HAKXBTZA7PE,941.0930184900001,151
Y54P3N2HGA2KI3MU77BOJ7DY6FDOAAF5DNWGCDZLNLVHIBPJIJV5ALO5ZM,917.38782763,152
C3P2XWQSWUFMIUF7OVO7OKFRPUKYDHHB6H5JYVG2NHHKT5WHYACFJUXPIY,907.77623943,153
F4CQTCVOF3YLIQQVIYY5SQ76IU6HOSXVSF2OTLIIKM6UML64Z2XORENTLU,893.48105949,154
MHEJR4YGPB2LXQWS4FTME2XIQZ3UFQCSLYISYLNVLT74CHT57U52NK472I,890.26164033,155
UOW4JNODRR26UGRLJUC7JBGUAQ4DQDZKA2X6WGDPVU5K3Z67J72XM6OVZA,880.7325901600001,156
TIGER4VK5MHK2TIE2DLV5LQSJLZQROKY4H5VC3HXNTMDOPPMSPKKS4TK44,879.92325232,157
34AQYB7W2VDTTAJJBYLRODQGGTYOF3RK435FCVXKKES7KPL4HYNSMZOP2E,852.62254425,158
2FSBJPPM576UPPJLLH4OW6GNAJS6NQB4C5NS56FNSNJ3AG5WDW3VD42G3I,832.23091125,159
CYAJXRCQ3OH2WTDCI4334YGTXHQV5XTBRSJYSICARYVUK55TR5GLA7R3YA,809.8612057,160
JQKNMSSWJWZWG2WQG64PSSGCAJKZDA6WT7VGDPG6LQRJ2YVAXXMOKX3GAQ,800.2763110899999,161
KCH3TANAI67WREN7EWJSQV56LC6YSIZHQNTT7BFSNVXAI5IRX6QSL6UMJQ,787.54645289,162
YMWDZZA6K7EYTQ5OA43Z3OEHU2UCGCTP4A5ZH7SDNDX7ZGC222O5XATRQI,756.34849883,163
X7BSVM457TXVCTA4YJVTNPIUBHIYTXDN6GOBQGDVH2ELWT35ADJNJ3MO5M,754.36007619,164
FNH5TSN6MGIW7JAECV275AF65OOH3SI3ETV6HH7QYGUEHKM3MZ2DL2UEFM,753.947097,165
RPDKO5HMCBI3MIL36KXRAAIFFMT33J5FJKGONKO7JTJWS46V2RYU5VNYNM,753.947097,166
MMMDCK5ECKUHIHV3YNKNLDKZO4E6ROU6K7EA52C2G647QDURSDJM2CBUJ4,753.947097,167
ZNX42LDFCRDCBGHS57JSDEBMGH5XJC5T6Z5WDV7T3EJEX54JHKBCC4OA7Q,753.947097,168
QF5MOVPAIWRHTLZPRMQNXFAXJLVBA5E5FNECK7MZGBPVWYTSCTPRX6UWRM,753.947097,169
QGW42VHNZDAQ6T2EN2DRRCI4I6XCHVQLIPCKHYHHBXGIXTURVCDEAD4N5A,753.947097,170
ZWBHDJRWFONYWFNFG2AYWGWGMS4VFEW2CFUAURC3IIP757JFYU44QWVVKQ,753.947097,171
XKSTVNAFVNRWPSN7AUHQ6VPDFL5OS2POMBQBHYCT442RWN6R7TQ7THPNPI,753.947097,172
LCORKCA4XMQBK5OMR2R6KGPRS4NJECJY7VDKLVOMZIHWSVRHT2MSEMQ6NU,753.947097,173
QIXNIKDRVF5LTTZT2LMBAHFLI5VFESKVYASAJZJNFDGAKCS7IK2R57LEBU,753.947097,174
RXEEXNCDSKVZJC5EXXAHJVVMKIQMAV4AK2H32JBTLJODIS5PYLBM7E5FKY,753.947097,175
ULOQKSMQMM2BA2Y6RYJVCTTOV6ISLEVYQY6MXWMTUUCKNTXKRORWOZQRJU,753.947097,176
J75B54T4465CMMFCZ6GZX2CYI77IKBBA7ECWK7KHPEGT23K362ELCTNNAU,753.947097,177
ETWP6PASTBI6MGJKLGZCOSWZFCMTE7GTCW77CZG72YTP6Q4HTN3APUBWGI,753.947097,178
ZAJUGOPY44M4IABUX5FJDO4L3HS4FEINPWIWGPDX7QNN6HCTCOAXAIN7PE,753.947097,179
TRGFI5WXAG7IVGRH5SAF767E6RWKPXUSOPYWRJJIIZIOFXDNWW6HKWHONU,753.947097,180
